#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:ThiesDiscoSNPs" name="popSize">0.3</parameter>
#                <parameter id="growthRate.t:ThiesDiscoSNPs" name="growthRate">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoSNPs">
#                    <trait id="dateTrait.t:ThiesDiscoSNPs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoSNPs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoSNPs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoSNPs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoSNPs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ePopSizePrior.t:ThiesDiscoSNPs" name="distribution" x="@ePopSize.t:ThiesDiscoSNPs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:ThiesDiscoSNPs" name="distribution" x="@growthRate.t:ThiesDiscoSNPs">
#            <LaplaceDistribution id="LaplaceDistribution.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mu">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="scale">30.701135</parameter>
#            </LaplaceDistribution>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoSNPs" id="treeLikelihood.ThiesDiscoSNPs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoSNPs">
#            <siteModel id="SiteModel.s:ThiesDiscoSNPs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoSNPs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoSNPs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoSNPs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoSNPs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoSNPs" id="StrictClock.c:ThiesDiscoSNPs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	CoalescentExponential	ePopSize	growthRate.
57000	-11140.09684728829	-11046.546556080115	-93.55029120817595	-11046.546556080115	2186.9655898252668	6.62824239801168E-5	1.0	-78.75301736931455	43467.85155466815	0.002539188488540317
58000	-11140.510011922323	-11047.481762276971	-93.0282496453505	-11047.481762276971	2165.2403211813153	6.142239769322351E-5	1.0	-77.88917609310207	61180.06086253486	0.002539188488540317
59000	-11143.292052415021	-11049.058657330743	-94.23339508427814	-11049.058657330743	1721.6230865396735	9.177961362134309E-5	1.0	-79.13887811690655	58513.924330376816	0.002539188488540317
60000	-11142.319371404143	-11048.384656099292	-93.93471530485154	-11048.384656099292	2427.855134944197	6.246779431805855E-5	1.0	-78.89347350473538	55478.16841097997	0.002539188488540317
61000	-11146.220833524954	-11051.417821487214	-94.80301203774015	-11051.417821487214	2076.653871852782	6.776179476299217E-5	1.0	-79.05581607474633	112386.49109831179	0.002539188488540317
62000	-11147.812522704322	-11046.722840590413	-101.08968211390939	-11046.722840590413	2649.729850243574	5.533574820782609E-5	1.0	-83.96821395401358	444164.12762615853	0.0032081735562211056
63000	-11146.711241270661	-11049.543139595162	-97.16810167549957	-11049.543139595162	2374.898399276802	5.521913647406742E-5	1.0	-80.32749665979912	335402.4005861876	0.0032081735562211056
64000	-11145.082187770106	-11050.126951364899	-94.95523640520699	-11050.126951364899	1957.8686308438932	6.9978541614831E-5	1.0	-78.6627320002791	193878.25217900562	0.0032081735562211056
65000	-11139.94427443252	-11048.263054138954	-91.68122029356633	-11048.263054138954	1891.5740026450922	7.672935588662412E-5	1.0	-76.51505319054704	62858.93533006798	0.0032081735562211056
66000	-11143.409618137	-11052.462891929814	-90.94672620718603	-11052.462891929814	1706.3973696170585	7.719729224096278E-5	1.0	-75.9585168447773	52611.53295735382	0.0032081735562211056
67000	-11139.930809649122	-11048.466501488927	-91.46430816019496	-11048.466501488927	1656.6788866530203	8.121293009190931E-5	1.0	-76.24397002306287	66357.98685763941	0.0032081735562211056
68000	-11141.350215030625	-11048.308036428987	-93.04217860163837	-11048.308036428987	1958.0526736423308	7.232265407866053E-5	1.0	-77.36724629261482	104549.25499971343	0.0032081735562211056
69000	-11138.080986550696	-11051.295271049492	-86.78571550120392	-11051.295271049492	1086.0256100739666	1.266675525830704E-4	1.0	-73.30231694269847	11682.880317814484	0.0032081735562211056
70000	-11132.873112260964	-11046.355018379243	-86.51809388172144	-11046.355018379243	1169.6485966012356	1.2505873526008022E-4	1.0	-72.99249625549882	12186.437064115766	0.0032081735562211056
71000	-11136.552285333846	-11049.80286742641	-86.74941790743738	-11049.80286742641	1129.2942524352325	1.2325088447567598E-4	1.0	-73.19119940665281	12590.524306033263	0.0032081735562211056
72000	-11137.119019225225	-11052.459077289683	-84.65994193554162	-11052.459077289683	861.2651633505961	1.7020951722535567E-4	1.0	-72.53490079137015	3003.4665409237364	0.0032081735562211056
73000	-11132.974307206843	-11045.836647368667	-87.13765983817623	-11045.836647368667	1039.3806724789927	1.371633099537694E-4	1.0	-73.4748351443796	13978.922855053157	0.0032081735562211056
74000	-11145.962167413845	-11054.085050891616	-91.8771165222298	-11054.085050891616	1471.3400548388554	9.707849229948466E-5	1.0	-77.99061431760605	17482.986283788956	0.0032081735562211056
75000	-11135.419021651258	-11045.054544405019	-90.36447724623962	-11045.054544405019	1579.9467145618753	9.115621442305485E-5	1.0	-75.52767416899115	45219.52977976371	0.0032081735562211056
76000	-11138.14072449897	-11050.000064622425	-88.14065987654496	-11050.000064622425	1379.8813771755458	1.0202014589588057E-4	1.0	-73.78043721041008	28076.558109405065	0.003627550671760682
77000	-11138.232640594333	-11047.274033148662	-90.95860744567176	-11047.274033148662	1654.9775659406378	8.259522515912847E-5	1.0	-76.06355560659023	47931.081167693555	0.003627550671760682
78000	-11142.1659143027	-11046.833204259548	-95.33271004315122	-11046.833204259548	1651.577444366032	8.121232859347187E-5	1.0	-78.94498964622987	213243.07836025112	0.003627550671760682
79000	-11142.028196758125	-11049.191809512258	-92.83638724586584	-11049.191809512258	1714.123947933859	7.901417741302371E-5	1.0	-76.10657875620403	300210.8770696687	0.00472264276792253
