name	haplotype number	year	culture_adapted	DISCO	ADCL_35	ADCL_40	ADCL_45	ADCL_35_lab	ADCL_40_lab	ADCL_45_lab	SET_35_v1	SET_40_v1	SET_45_v1
Th057.06	124	2006	0	0	0	0	0				000	000	000
Th057.08	295	2008	0	0	0	0	0				000	000	000
Th057.13	24	2013	1	0	0	0	0				100	100	100
Th058.09	58	2009	0	0	0	0	0				000	000	000
Th058.10	7	2010	0	0	0	0	0				000	000	000
Th058.11	460	2011	0	0	0	0	0				000	000	000
Th058.13	85	2013	0	0	0	0	0				000	000	000
Th059.06	125	2006	0	0	0	0	0				000	000	000
Th059.11	461	2011	0	0	0	0	0				000	000	000
Th059.12	498	2012	0	0	0	0	0				000	000	000
Th059.13	598	2013	0	0	0	0	0				000	000	000
Th060.06	126	2006	0	0	0	0	0				000	000	000
Th060.07	216	2007	0	0	0	0	0				000	000	000
Th060.10	6	2010	0	0	0	1	0		Th060.10		000	001	000
Th060.13	599	2013	0	0	0	0	0				000	000	000
Th061.07	217	2007	0	0	0	0	0				000	000	000
Th061.09	58	2009	0	0	0	0	0				000	000	000
Th061.10	415	2010	0	0	0	0	0				000	000	000
Th061.11	12	2011	0	0	0	0	0				000	000	000
Th061.12	16	2012	0	0	0	0	0				000	000	000
Th061.13	24	2013	1	1	0	0	0				110	110	110
Th062.07	218	2007	0	0	0	0	0				000	000	000
Th062.09	29	2009	0	0	0	0	0				000	000	000
Th062.11	68	2011	0	0	0	0	0				000	000	000
Th062.13	600	2013	0	0	0	0	0				000	000	000
Th063.06	127	2006	0	0	0	0	0				000	000	000
Th063.07	219	2007	0	0	0	0	0				000	000	000
Th063.11	17	2011	0	0	0	0	0				000	000	000
Th063.13	99	2013	0	0	0	0	0				000	000	000
Th064.07	220	2007	0	0	0	0	0				000	000	000
Th064.09	364	2009	0	0	0	0	0				000	000	000
Th064.10	416	2010	0	0	0	0	0				000	000	000
Th064.11	29	2011	0	0	0	0	0				000	000	000
Th064.12	499	2012	0	0	0	0	0				000	000	000
Th064.13	98	2013	0	0	0	0	0				000	000	000
Th065.06	128	2006	0	0	0	0	0				000	000	000
Th065.08	296	2008	0	0	0	0	0				000	000	000
Th065.10	66	2010	0	0	0	0	0				000	000	000
Th065.11	11	2011	0	0	0	0	0				000	000	000
Th066.06	129	2006	0	0	0	0	0				000	000	000
Th066.07	44	2007	0	0	0	0	0				000	000	000
Th066.08	297	2008	0	0	0	0	0				000	000	000
Th066.10	417	2010	0	0	0	0	0				000	000	000
Th066.12	500	2012	0	0	0	0	0				000	000	000
Th066.13	601	2013	0	0	0	0	0				000	000	000
Th067.08	298	2008	0	0	0	0	0				000	000	000
Th067.09	365	2009	0	0	0	0	0				000	000	000
Th067.11	462	2011	0	0	0	0	0				000	000	000
Th067.13	602	2013	0	0	0	0	0				000	000	000
Th068.06	130	2006	0	0	0	0	0				000	000	000
Th068.08	4	2008	0	0	0	0	0				000	000	000
Th068.11	67	2011	0	0	0	0	0				000	000	000
Th068.12	24	2012	1	1	0	0	0				110	110	110
Th068.13	603	2013	0	0	0	0	0				000	000	000
Th069.10	12	2010	0	0	0	0	0				000	000	000
Th069.11	67	2011	0	0	0	0	0				000	000	000
Th069.12	81	2012	0	0	0	0	0				000	000	000
Th069.13	604	2013	0	0	0	0	0				000	000	000
Th070.07	221	2007	0	0	0	0	1			Th070.07	000	000	001
Th070.08	49	2008	0	0	0	0	0				000	000	000
Th070.11	463	2011	0	0	0	0	0				000	000	000
Th070.12	501	2012	0	0	0	0	0				000	000	000
Th070.13	605	2013	0	0	0	0	0				000	000	000
Th071.07	222	2007	0	0	0	0	0				000	000	000
Th071.08	5	2008	0	0	0	0	0				000	000	000
Th071.09	57	2009	0	0	0	0	0				000	000	000
Th071.12	29	2012	0	0	0	0	0				000	000	000
Th071.13	92	2013	0	0	0	0	0				000	000	000
Th072.07	223	2007	0	0	0	0	0				000	000	000
Th072.08	299	2008	0	0	0	0	0				000	000	000
Th072.09	58	2009	0	0	0	0	0				000	000	000
Th072.11	464	2011	0	0	0	0	0				000	000	000
Th072.13	24	2013	1	0	1	1	0	Th072.13	Th072.13		101	101	100
Th073.07	224	2007	0	0	0	0	0				000	000	000
Th073.08	51	2008	0	0	0	0	0				000	000	000
Th073.10	66	2010	0	0	0	0	0				000	000	000
Th073.11	8	2011	0	0	1	1	1	Th073.11	Th073.11	Th073.11	001	001	001
Th073.12	502	2012	0	0	0	0	0				000	000	000
Th073.13	24	2013	1	0	0	0	0				100	100	100
Th074.07	38	2007	0	0	0	0	0				000	000	000
Th074.08	300	2008	0	0	0	0	0				000	000	000
Th074.10	418	2010	0	0	0	0	0				000	000	000
Th074.11	465	2011	0	0	0	0	0				000	000	000
Th074.12	503	2012	0	0	0	0	0				000	000	000
Th074.13	29	2013	1	1	0	0	0				110	110	110
Th075.07	225	2007	0	0	0	0	0				000	000	000
Th075.10	66	2010	0	0	0	0	0				000	000	000
Th075.11	466	2011	0	0	0	0	0				000	000	000
Th075.12	72	2012	0	0	0	0	0				000	000	000
Th076.10	8	2010	0	0	0	0	0				000	000	000
Th076.11	467	2011	0	0	0	0	0				000	000	000
Th076.12	504	2012	0	0	0	0	0				000	000	000
Th077.08	301	2008	0	0	0	0	0				000	000	000
Th077.09	366	2009	0	0	0	0	0				000	000	000
Th077.11	468	2011	0	0	0	0	0				000	000	000
Th077.12	13	2012	0	0	0	0	0				000	000	000
Th077.13	606	2013	0	0	0	0	0				000	000	000
Th078.10	6	2010	0	0	0	0	0				000	000	000
Th078.11	29	2011	0	0	0	0	0				000	000	000
Th078.13	607	2013	0	0	0	0	0				000	000	000
Th079.06	131	2006	0	0	1	1	1	Th079.06	Th079.06	Th079.06	001	001	001
Th079.07	38	2007	0	0	0	0	0				000	000	000
Th079.09	54	2009	0	0	0	0	0				000	000	000
Th079.10	60	2010	0	0	0	0	0				000	000	000
Th079.12	505	2012	0	0	0	0	0				000	000	000
Th080.06	31	2006	0	0	0	0	0				000	000	000
Th080.07	226	2007	0	0	0	0	0				000	000	000
Th080.10	419	2010	0	0	0	0	0				000	000	000
Th080.13	608	2013	0	0	0	0	0				000	000	000
Th081.10	420	2010	0	0	0	0	0				000	000	000
Th081.11	469	2011	0	0	0	0	0				000	000	000
Th081.13	609	2013	0	0	0	0	0				000	000	000
Th082.07	227	2007	0	0	0	0	0				000	000	000
Th082.09	367	2009	0	0	0	0	0				000	000	000
Th082.13	610	2013	0	0	0	0	0				000	000	000
Th083.06	132	2006	0	0	0	0	0				000	000	000
Th083.07	1	2007	0	0	0	0	0				000	000	000
Th083.11	470	2011	0	0	0	0	0				000	000	000
Th083.13	611	2013	0	0	0	0	0				000	000	000
Th084.07	37	2007	0	0	0	0	0				000	000	000
Th084.09	56	2009	0	0	0	0	0				000	000	000
Th084.11	471	2011	0	0	0	0	0				000	000	000
Th085.06	133	2006	0	0	0	0	0				000	000	000
Th085.09	56	2009	0	0	0	0	0				000	000	000
Th085.11	472	2011	0	0	0	0	0				000	000	000
Th085.13	612	2013	0	0	0	0	0				000	000	000
Th086.06	134	2006	0	0	0	0	0				000	000	000
Th086.07	29	2007	1	1	0	0	0				110	110	110
Th086.09	368	2009	1	0	0	0	0				100	100	100
Th086.12	77	2012	0	0	0	0	0				000	000	000
Th086.13	613	2013	0	0	0	0	0				000	000	000
Th087.07	228	2007	0	0	0	0	0				000	000	000
Th087.08	302	2008	0	0	0	0	0				000	000	000
Th087.09	369	2009	0	0	0	0	0				000	000	000
Th087.11	17	2011	0	0	0	0	0				000	000	000
Th087.13	614	2013	0	0	0	0	0				000	000	000
Th088.07	229	2007	0	0	0	0	0				000	000	000
Th088.08	4	2008	0	0	0	0	0				000	000	000
Th088.12	506	2012	1	0	0	0	0				100	100	100
Th089.13	615	2013	0	0	0	0	0				000	000	000
Th090.08	49	2008	0	0	0	0	0				000	000	000
Th090.09	370	2009	1	0	1	0	0	Th090.09			101	100	100
Th090.10	421	2010	0	0	0	0	0				000	000	000
Th090.11	473	2011	0	0	0	0	0				000	000	000
Th090.12	507	2012	0	0	0	0	0				000	000	000
Th090.13	616	2013	0	0	0	0	0				000	000	000
Th091.07	230	2007	0	0	0	0	0				000	000	000
Th091.09	371	2009	0	0	0	0	0				000	000	000
Th091.11	20	2011	0	0	0	0	0				000	000	000
Th091.13	617	2013	0	0	0	0	0				000	000	000
Th092.08	303	2008	0	0	0	0	0				000	000	000
Th092.09	372	2009	0	0	0	0	0				000	000	000
Th092.11	474	2011	0	0	0	0	0				000	000	000
Th092.12	508	2012	0	0	0	0	0				000	000	000
Th092.13	26	2013	1	1	0	0	0				110	110	110
Th093.06	135	2006	0	0	0	0	0				000	000	000
Th093.07	231	2007	0	0	0	0	0				000	000	000
Th093.09	373	2009	0	0	0	0	0				000	000	000
Th093.12	509	2012	0	0	0	0	0				000	000	000
Th093.13	618	2013	0	0	0	0	0				000	000	000
Th094.07	232	2007	0	0	0	0	0				000	000	000
Th094.12	510	2012	0	0	0	0	0				000	000	000
Th095.06	136	2006	0	0	0	0	0				000	000	000
Th095.08	4	2008	0	0	0	0	0				000	000	000
Th095.10	64	2010	0	0	0	0	0				000	000	000
Th095.11	29	2011	0	0	0	0	0				000	000	000
Th095.12	18	2012	0	0	1	0	0	Th095.12			001	000	000
Th095.13	24	2013	1	1	0	0	0				110	110	110
Th096.07	233	2007	0	0	0	0	0				000	000	000
Th096.08	304	2008	0	0	0	0	0				000	000	000
Th096.11	18	2011	0	0	0	0	0				000	000	000
Th096.12	18	2012	0	0	0	1	0		Th096.12		000	001	000
Th097.09	374	2009	0	0	0	0	0				000	000	000
Th097.11	475	2011	0	0	0	0	0				000	000	000
Th097.13	87	2013	0	0	0	0	0				000	000	000
Th098.06	30	2006	0	0	0	0	0				000	000	000
Th098.07	234	2007	0	0	0	0	0				000	000	000
Th098.11	29	2011	0	0	0	0	0				000	000	000
Th098.12	16	2012	0	0	0	0	0				000	000	000
Th098.13	87	2013	0	0	0	0	0				000	000	000
Th099.06	137	2006	0	0	0	0	0				000	000	000
Th099.07	235	2007	0	0	0	0	0				000	000	000
Th099.11	16	2011	0	0	0	0	0				000	000	000
Th099.12	17	2012	0	0	0	0	0				000	000	000
Th099.13	21	2013	0	0	0	0	0				000	000	000
Th100.07	236	2007	0	0	0	0	0				000	000	000
Th100.13	619	2013	0	0	0	0	0				000	000	000
Th101.08	52	2008	0	0	0	0	0				000	000	000
Th101.09	375	2009	0	0	0	0	0				000	000	000
Th101.11	29	2011	0	0	0	0	0				000	000	000
Th101.13	620	2013	0	0	0	0	0				000	000	000
Th102.07	237	2007	0	0	0	0	1			Th102.07	000	000	001
Th102.08	305	2008	0	0	0	0	0				000	000	000
Th102.12	81	2012	0	0	0	0	0				000	000	000
Th102.13	621	2013	0	0	0	0	0				000	000	000
Th103.06	138	2006	0	0	0	0	0				000	000	000
Th103.07	238	2007	0	0	0	0	0				000	000	000
Th103.11	29	2011	1	0	0	0	0				100	100	100
Th103.12	511	2012	0	0	0	0	0				000	000	000
Th103.13	622	2013	0	0	0	0	1			Th103.13	000	000	001
Th104.07	239	2007	0	0	0	0	0				000	000	000
Th104.08	306	2008	0	0	0	0	0				000	000	000
Th104.10	422	2010	0	0	0	0	0				000	000	000
Th104.11	29	2011	1	0	0	0	0				100	100	100
Th105.06	139	2006	0	0	0	0	0				000	000	000
Th105.08	52	2008	0	0	0	0	0				000	000	000
Th105.11	29	2011	0	0	0	0	0				000	000	000
Th105.12	81	2012	0	0	0	0	0				000	000	000
Th106.08	50	2008	0	0	0	0	0				000	000	000
Th106.09	29	2009	1	1	0	0	0				110	110	110
Th106.11	29	2011	1	1	0	0	0				110	110	110
Th106.12	21	2012	0	0	0	0	0				000	000	000
Th106.13	623	2013	0	0	0	0	0				000	000	000
Th107.10	65	2010	0	0	0	0	0				000	000	000
Th108.06	140	2006	0	0	0	0	0				000	000	000
Th108.09	4	2009	0	0	0	0	0				000	000	000
Th108.10	9	2010	0	0	0	0	0				000	000	000
Th108.12	25	2012	0	0	0	0	0				000	000	000
Th109.07	37	2007	0	0	0	0	0				000	000	000
Th109.09	4	2009	1	0	0	0	1			Th109.09	100	100	101
Th109.11	69	2011	0	0	0	0	0				000	000	000
Th109.12	512	2012	0	0	0	0	0				000	000	000
Th109.13	624	2013	0	0	0	0	0				000	000	000
Th110.07	240	2007	0	0	0	0	0				000	000	000
Th110.09	376	2009	0	0	0	0	0				000	000	000
Th110.11	29	2011	0	0	0	0	0				000	000	000
Th110.12	513	2012	0	0	0	0	0				000	000	000
Th110.13	89	2013	0	0	0	0	0				000	000	000
Th111.09	377	2009	1	0	0	0	1			Th111.09	100	100	101
Th111.10	423	2010	0	0	0	0	0				000	000	000
Th111.11	29	2011	0	0	0	0	0				000	000	000
Th111.12	75	2012	0	0	0	0	0				000	000	000
Th112.07	34	2007	0	0	0	0	0				000	000	000
Th112.08	4	2008	0	0	0	0	0				000	000	000
Th112.09	378	2009	1	0	1	0	0	Th112.09			101	100	100
Th112.10	424	2010	0	0	0	0	0				000	000	000
Th112.11	476	2011	0	0	0	0	0				000	000	000
Th112.12	78	2012	0	0	0	0	0				000	000	000
Th112.13	625	2013	0	0	0	0	0				000	000	000
Th113.07	34	2007	0	0	0	0	0				000	000	000
Th113.09	379	2009	1	0	0	0	0				100	100	100
Th113.11	6	2011	0	0	0	0	0				000	000	000
Th113.12	514	2012	0	0	0	0	0				000	000	000
Th113.13	626	2013	0	0	1	1	1	Th113.13	Th113.13	Th113.13	001	001	001
Th114.07	241	2007	0	0	0	0	0				000	000	000
Th114.12	29	2012	1	0	0	1	0		Th114.12		100	101	100
Th115.06	141	2006	0	0	0	0	0				000	000	000
Th115.08	307	2008	0	0	0	0	0				000	000	000
Th115.11	477	2011	0	0	0	0	0				000	000	000
Th116.06	142	2006	0	0	0	0	0				000	000	000
Th116.07	41	2007	0	0	0	0	0				000	000	000
Th116.09	380	2009	0	0	0	0	0				000	000	000
Th116.11	10	2011	0	0	0	0	0				000	000	000
Th116.12	71	2012	0	0	0	0	0				000	000	000
Th116.13	627	2013	0	0	0	0	0				000	000	000
Th117.07	242	2007	0	0	0	0	0				000	000	000
